Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.seimicrawler.xpath.antlr.XpathParser::relationalExpr()Lorg/seimicrawler/xpath/antlr/XpathParser$RelationalExprContext;,JsoupXpath-2.4.3,org.antlr.v4.runtime.TokenStream::LA(I)I,org.antlr.v4.runtime.CommonTokenStream::LA(I)I,antlr4-runtime-4.7.2,128
org.antlr.v4.runtime.ParserRuleContext::getRuleContext(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/ParserRuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$FunctionNameContext::getChild(Ljava/lang/Class;I)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,218
org.antlr.v4.runtime.Parser::enterOuterAlt(Lorg/antlr/v4/runtime/ParserRuleContext;I)V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::setAltNumber(I)V,org.seimicrawler.xpath.antlr.XpathParser$AndExprContext::setAltNumber(I)V,JsoupXpath-2.4.3,95
org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/tree/TerminalNode;)Lorg/antlr/v4/runtime/tree/TerminalNode;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$PredicateContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,106
org.antlr.v4.runtime.Parser::addContextToParseTree()V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,org.seimicrawler.xpath.antlr.XpathParser$StepContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,JsoupXpath-2.4.3,363
org.antlr.v4.runtime.Parser::enterRule(Lorg/antlr/v4/runtime/ParserRuleContext;II)V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.Parser::addContextToParseTree()V,org.seimicrawler.xpath.antlr.XpathParser::addContextToParseTree()V,JsoupXpath-2.4.3,2343
com.tngtech.java.junit.dataprovider.DataProviderRunner::getDataProviderMethod(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runners/model/FrameworkMethod;,junit-dataprovider-1.10.2,org.junit.runners.model.TestClass::getAnnotatedMethods(Ljava/lang/Class;)Ljava/util/List;,org.junit.runners.model.TestClass::getAnnotatedMethods(Ljava/lang/Class;)Ljava/util/List;,junit-4.12,2
org.antlr.v4.runtime.Parser::addContextToParseTree()V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,org.seimicrawler.xpath.antlr.XpathParser$AdditiveExprContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,JsoupXpath-2.4.3,121
org.seimicrawler.xpath.antlr.XpathParser::nameTest()Lorg/seimicrawler/xpath/antlr/XpathParser$NameTestContext;,JsoupXpath-2.4.3,org.antlr.v4.runtime.atn.ParserATNSimulator::adaptivePredict(Lorg/antlr/v4/runtime/TokenStream;ILorg/antlr/v4/runtime/ParserRuleContext;)I,org.antlr.v4.runtime.atn.ParserATNSimulator::adaptivePredict(Lorg/antlr/v4/runtime/TokenStream;ILorg/antlr/v4/runtime/ParserRuleContext;)I,antlr4-runtime-4.7.2,125
org.junit.runners.BlockJUnit4ClassRunner::withRules(Lorg/junit/runners/model/FrameworkMethod;Ljava/lang/Object;Lorg/junit/runners/model/Statement;)Lorg/junit/runners/model/Statement;,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::withTestRules(Lorg/junit/runners/model/FrameworkMethod;Ljava/util/List;Lorg/junit/runners/model/Statement;)Lorg/junit/runners/model/Statement;,com.tngtech.java.junit.dataprovider.DataProviderRunner::withTestRules(Lorg/junit/runners/model/FrameworkMethod;Ljava/util/List;Lorg/junit/runners/model/Statement;)Lorg/junit/runners/model/Statement;,junit-dataprovider-1.10.2,25
org.junit.runners.BlockJUnit4ClassRunner::runChild(Lorg/junit/runners/model/FrameworkMethod;Lorg/junit/runner/notification/RunNotifier;)V,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::describeChild(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runner/Description;,com.tngtech.java.junit.dataprovider.DataProviderRunner::describeChild(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runner/Description;,junit-dataprovider-1.10.2,25
com.tngtech.java.junit.dataprovider.DataProviderRunner::getDataProviderMethod(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runners/model/FrameworkMethod;,junit-dataprovider-1.10.2,org.junit.runners.model.FrameworkMethod::getName()Ljava/lang/String;,org.junit.runners.model.FrameworkMethod::getName()Ljava/lang/String;,junit-4.12,4
org.antlr.v4.runtime.RuleContext::getText()Ljava/lang/String;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.RuleContext::getChild(I)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$NCNameContext::getChild(I)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,7468
com.tngtech.java.junit.dataprovider.internal.TestGenerator::explodeTestMethod(Lorg/junit/runners/model/FrameworkMethod;Lorg/junit/runners/model/FrameworkMethod;)Ljava/util/List;,junit-dataprovider-1.10.2,org.junit.runners.model.FrameworkMethod::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,org.junit.runners.model.FrameworkMethod::getAnnotation(Ljava/lang/Class;)Ljava/lang/annotation/Annotation;,junit-4.12,1
org.junit.runners.BlockJUnit4ClassRunner::createTest()Ljava/lang/Object;,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::getTestClass()Lorg/junit/runners/model/TestClass;,com.tngtech.java.junit.dataprovider.DataProviderRunner::getTestClass()Lorg/junit/runners/model/TestClass;,junit-dataprovider-1.10.2,25
org.antlr.v4.runtime.Parser::match(I)Lorg/antlr/v4/runtime/Token;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.Parser::consume()Lorg/antlr/v4/runtime/Token;,org.seimicrawler.xpath.antlr.XpathParser::consume()Lorg/antlr/v4/runtime/Token;,JsoupXpath-2.4.3,315
org.jsoup.parser.HtmlTreeBuilderState$6::process(Lorg/jsoup/parser/Token;Lorg/jsoup/parser/HtmlTreeBuilder;)Z,jsoup-1.13.1,org.jsoup.helper.StringUtil::in(Ljava/lang/String;[Ljava/lang/String;)Z,org.jsoup.helper.StringUtil::in(Ljava/lang/String;[Ljava/lang/String;)Z,jsoup-1.10.3,29
org.junit.runners.BlockJUnit4ClassRunner::validateConstructor(Ljava/util/List;)V,junit-4.12,org.junit.runners.BlockJUnit4ClassRunner::validateOnlyOneConstructor(Ljava/util/List;)V,com.tngtech.java.junit.dataprovider.DataProviderRunner::validateOnlyOneConstructor(Ljava/util/List;)V,junit-dataprovider-1.10.2,1
org.antlr.v4.runtime.Parser::addContextToParseTree()V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,org.seimicrawler.xpath.antlr.XpathParser$UnionExprNoRootContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,JsoupXpath-2.4.3,125
org.seimicrawler.xpath.core.node.Text::call(Lorg/seimicrawler/xpath/core/Scope;)Lorg/seimicrawler/xpath/core/XValue;,JsoupXpath-2.4.3,org.jsoup.nodes.Element::textNodes()Ljava/util/List;,org.jsoup.nodes.Element::textNodes()Ljava/util/List;,jsoup-1.13.1,42
