SPI	SPI Implementations
java.sql.Driver	ru.yandex.clickhouse.ClickHouseDriver;ru.yandex.clickhouse:clickhouse-jdbc:0.2.4
java.sql.Driver	com.microsoft.sqlserver.jdbc.SQLServerDriver,com.microsoft.sqlserver:mssql-jdbc:6.2.1.jre7
java.sql.Driver	org.hsqldb.jdbc.JDBCDriver,org.hsqldb:hsqldb:2.5.0
java.sql.Driver	org.h2.Driver,com.h2database:h2:1.4.199
java.sql.Driver	ru.yandex.clickhouse.ClickHouseDriver,ru.yandex.clickhouse:clickhouse-jdbc:0.2.4
java.sql.Driver	org.apache.calcite.avatica.remote.Driver;org.apache.calcite.avatica:avatica-core:1.9.0
java.sql.Driver	org.apache.calcite.avatica.remote.Driver,org.apache.kylin:kylin-jdbc:2.0.0
java.sql.Driver	org.apache.calcite.jdbc.Driver,org.apache.calcite:calcite-core:1.26.0
java.sql.Driver	oracle.jdbc.OracleDriver;com.oracle.ojdbc:ojdbc8:19.3.0.0
java.sql.Driver	org.apache.calcite.avatica.remote.Driver,org.apache.calcite.avatica:avatica-core:1.9.0
java.sql.Driver	com.mysql.cj.jdbc.Driver,mysql:mysql-connector-java:8.0.21
java.sql.Driver	com.mysql.cj.jdbc.Driver,mysql:mysql-connector-java:8.0.22
java.sql.Driver	oracle.jdbc.OracleDriver,com.oracle.ojdbc:ojdbc8:19.3.0.0
java.sql.Driver	net.sourceforge.jtds.jdbc.Driver,net.sourceforge.jtds:jtds:1.3.0
java.sql.Driver	com.alibaba.druid.proxy.DruidDriver;com.alibaba:druid:1.0.29
java.sql.Driver	com.alibaba.druid.proxy.DruidDriver;com.alibaba:druid:1.2.5
java.sql.Driver	net.sourceforge.jtds.jdbc.Driver;net.sourceforge.jtds:jtds:1.3.0
java.sql.Driver	org.h2.Driver;com.h2database:h2:1.4.199
java.sql.Driver	org.postgresql.Driver;org.postgresql:postgresql:42.2.18
java.sql.Driver	com.alibaba.druid.proxy.DruidDriver;com.alibaba:druid:1.2.1
java.sql.Driver	org.apache.hive.jdbc.HiveDriver,org.apache.hive:hive-jdbc:3.1.2
java.sql.Driver	org.h2.Driver,com.h2database:h2:1.4.200
java.sql.Driver	org.apache.hive.jdbc.HiveDriver;org.apache.hive:hive-jdbc:3.1.2
java.sql.Driver	com.alibaba.druid.proxy.DruidDriver,com.alibaba:druid:1.2.5
java.sql.Driver	com.alibaba.druid.proxy.DruidDriver;com.alibaba:druid:1.1.20
java.sql.Driver	org.h2.Driver,com.h2database:h2:1.3.176
java.sql.Driver	org.apache.calcite.jdbc.Driver;org.apache.calcite:calcite-core:1.26.0
java.sql.Driver	com.mysql.cj.jdbc.Driver;mysql:mysql-connector-java:8.0.21
java.sql.Driver	org.postgresql.Driver,org.postgresql:postgresql:42.2.18
java.sql.Driver	com.microsoft.sqlserver.jdbc.SQLServerDriver;com.microsoft.sqlserver:mssql-jdbc:6.2.1.jre7
java.sql.Driver	org.h2.Driver,com.h2database:h2:2.0.201-SNAPSHOT
java.sql.Driver	com.mysql.jdbc.Driver;mysql:mysql-connector-java:5.1.47
java.sql.Driver	org.apache.calcite.avatica.remote.Driver;org.apache.kylin:kylin-jdbc:2.0.0
sun.net.spi.nameservice.NameServiceDescriptor	org.xbill.DNS.spi.DNSJavaNameServiceDescriptor;dnsjava:dnsjava:2.1.7
sun.net.spi.nameservice.NameServiceDescriptor	org.xbill.DNS.spi.DNSJavaNameServiceDescriptor,dnsjava:dnsjava:2.1.7
org/apache/activemq/	null,org.apache.activemq:activemq-client:5.16.0
org.mapstruct.ap.internal.processor.ModelElementProcessor	;org.mapstruct:mapstruct-processor:1.3.0.Final
javax.xml.transform.TransformerFactory	org.apache.xalan.processor.TransformerFactoryImpl,xalan:xalan:2.7.2
javax.xml.transform.TransformerFactory	org.apache.xalan.processor.TransformerFactoryImpl;xalan:xalan:2.7.0
