Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Person::name	java.lang.String	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$DogWithAnnotations::age	java.lang.Integer	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$GenericWrapper::entityList	java.util.Collection<T>	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Client::name	java.lang.String	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	br.com.caelum.vraptor.serialization.xstream.XStreamXmlDeserializerTest$Dog::age	java.lang.Integer	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.route.JavaEvaluatorTest$Client::getFavoriteColors()[Ljava/lang/String;		unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	javassist.util.proxy.java_lang_Object_$$_jvst16b_5::_filter_signature	byte[]	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	javassist.util.proxy.java_lang_Object_$$_jvst16b_5::_filter_signature	byte[]	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.2.4	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$User::login	java.lang.String	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Item::price	double	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.interceptor.example.AcceptsWithoutArgsInterceptor::accepts()Z		unknownLib
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.2.4	java.lang.reflect.Constructor	default	br.com.caelum.vraptor.serialization.gson.GsonDeserializerTest$Dog::br.com.caelum.vraptor.serialization.gson.GsonDeserializerTest$Dog()V		unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.route.JavaEvaluatorTest$Client::isUgly()Z		unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.interceptor.example.WithoutAroundInterceptor::after()V		unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$A::field1	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$C	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$B::this$0	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.view.HttpResult_$$_jvst16b_11::_filter_signature	byte[]	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.view.HttpResult_$$_jvst16b_11::_filter_signature	byte[]	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.observer.ExecuteMethodTest$AnyController::throwUnCheckedException()V		unknownLib
org.hibernate.validator.internal.util.privilegedactions.SetAccessibility::run()Ljava/lang/Object;	org.hibernate:hibernate-validator:5.1.0.Final	java.lang.reflect.Field	public	br.com.caelum.vraptor.validator.DefaultValidatorTest$Customer::id	java.lang.Integer	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.2.4	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.gson.GsonJSONSerializationTest$Address::street	java.lang.String	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.http.route.DefaultRouterTest$SomeController_$$_jvst16b_12::_filter_signature	byte[]	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.http.route.DefaultRouterTest$SomeController_$$_jvst16b_12::_filter_signature	byte[]	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.http.iogi.IogiParametersProviderTest$ABC::setY(Ljava/lang/Long;)V		unknownLib
org.hibernate.validator.internal.util.privilegedactions.GetAnnotationParameter::run()Ljava/lang/Object;	org.hibernate:hibernate-validator:5.1.0.Final	java.lang.reflect.Method	public	com.sun.proxy.$Proxy40::regexp()Ljava/lang/String;		unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	default	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$Order::comments	java.lang.String	unknownLib
net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V	net.vidageek:mirror:1.6.1	java.lang.reflect.Method	public	br.com.caelum.vraptor.view.SubGenericController$linkTo$path_$$_jvst16b_1a::anotherMethod(Ljava/lang/Object;)Ljava/lang/String;		unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	com.thoughtworks.xstream.core.JVM$Test::s	short	com.thoughtworks.xstream:xstream:1.4.7
org.hibernate.validator.internal.util.privilegedactions.SetAccessibility::run()Ljava/lang/Object;	org.hibernate:hibernate-validator:5.1.0.Final	java.lang.reflect.Method	public	br.com.caelum.vraptor.validator.MethodValidatorTest$MyController::withConstraint(Ljava/lang/String;)V		unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.view.LinkToHandlerTest$TestController$linkTo_$$_jvst16b_1b::_filter_signature	byte[]	unknownLib
com.thoughtworks.xstream.converters.reflection.FieldDictionary::buildMap(Ljava/lang/Class;Z)Ljava/util/Map;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	private	br.com.caelum.vraptor.serialization.xstream.XStreamXMLSerializationTest$WithAlias::abc	java.lang.String	unknownLib
javassist.util.proxy.SecurityActions::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	org.javassist:javassist:3.18.1-GA	java.lang.reflect.Field	public	br.com.caelum.vraptor.view.LinkToHandlerTest$TestController$linkTo_$$_jvst16b_1b::_filter_signature	byte[]	unknownLib
com.thoughtworks.xstream.core.util.Fields::locate(Ljava/lang/Class;Ljava/lang/Class;Z)Ljava/lang/reflect/Field;	com.thoughtworks.xstream:xstream:1.4.7	java.lang.reflect.Field	protected	java.util.Properties::defaults	java.util.Properties	unknownLib
